word	definition
accelerate	v.加速，不斷增長  
accessible	a.可靠近的
acclaim	v.歡呼，歡迎
accommodate	v.給人提供食宿；與...相符，適應
accommodating	a.樂於助人的
accompany	v.陪伴，伴奏
accord	v.和諧一致
accumulate	v.聚，堆積
abrasion	n.磨損
premium	n.保險金 a.高級的，高價的
abbreviate	v. 縮短，縮寫
abstract	a.抽象的 n.概要
absurd	a.荒謬的
abandon	v. 拋棄
abundance	n.豐富
accustom	v.使習慣 
acquaintance	n.熟悉，認識
acronym	n.首字母縮略詞
acute	 a.敏銳的性急的
adapt	v.適應環境
addictive	a.(吸毒)上癮的
additive	n.添加劑，a.附加的
adept	a.老練的
adjoining/adjacent	a.鄰近的，毗鄰的
adjust	v.調整，校準
adobe	n.土坯，印第安人造房原料
abode	n.住所，住房
adopt	v.收養，採納 
adornment	n. 裝飾
advent	n.來到 
adverse	a.不利的，逆反的  
advocate	v./n.支持，擁護(者)
anesthetic	 a.感覺的
affect	v.影響，假裝 
affected	a.裝模作樣的
affectation	n.假裝
affiliate	"v.變成...的兒子，和...聯合,加盟進去,附加 "
afflict	v.折磨
affluent	a.富有的，豐富的
aggravating	a.一再惡化的 
aggregate	v.總計 
agitation	"n.激動,煽動 "
alchemy	n. 煉金術
alder	n.赤楊樹
sloth	n.樹懶
algae	n.海藻
alien	 n.外國人
allocate	v.分配
alloy	n.合金
ally	n.聯盟，盟軍
alternate	v.交替 
altitude	n. 高度
latitude	n.緯度
aluminium	n. 鋁
ambiance	n.周圍，氛圍
amenable	"a.負責任的,應服從的"
amiable	 a.和藹可親的
amplify	v.放大
annihilate	"v.消滅,殲滅"
annual	 a.一年一度的
anomaly	n.異常的人或物
anonymous	a.匿名的
antibiotics	a.抗生素的
antiquate	"v.使古舊,廢棄"
appeal	"n.上訴,呼籲"
appealing	a.有吸引力的
apprentice	 n.學徒
approach	"v. 接近,n.方法"
aptly	"a.恰當的,得體的"
aquatic	" a.水的,水生的 "
arch	"n.弧形,拱形門,主要的"
archaeology	n.考古學
archipelago	n.群島
architect	n.建築師
arduous	"a.費勁的,勞累的 "
arena	"n.鬥牛場,競技場"
arid	a.乾旱的
armature	n.盔甲
aromatic	a. 芬芳的  n.芳香
array	v. 排列
arthritis	n. 關節炎
arthrosis	n.關節 
artificial	a.人造的
artisan	"n.工匠,藝人"
ascend	"v.攀登,上升"
aspiring	"a.有抱負的,積極的"
assemble	"v.集合,組裝 "
assert	"v.斷言,自我主張"
associate	v.和...相關聯
assorted	a.什錦的 
assume	v.假定
assure	"v.向某人保證,使某人放心"
assurance	"n. 擔保,斷言"
astounding	a.令人震驚的
astute	"a.(人做事)機敏的,機智的"
atomization	n.分離成原子
attach	"v.隸屬,貼"
attain	"v. 獲得,拿到"
attire	 n. 服裝
attribute	v. 歸因於
auditorium	n. 大講堂
auger	"n. 鑽頭,螺絲鑽,尖鑽"
automated/automatic	a.自動的
available	" a.可獲得的,有用的"
aviation	n.航空
avocational	"a.非職業的,副業的 "
aware	v.(主動)意識到
awkward	" a.難使用的,笨拙的"
backdrop	n.(電影)背景幕
ballet	 n.芭蕾舞
balmy	" a.芳香的,止痛的,溫和的 "
barb	 n.(魚)倒刺 
barge	n. 駁船 
bark	v.狗叫 n.樹皮
barn	n.穀倉
bare	a. 不毛之地的
barrier	n.障礙物，柵欄
barter	" n./v.物品交換,以物易物"
basement	n. 地下室 
beak	n.鳥喙
beam	"n. 光線,木結構大樑"
bequest	"n. 遺產,遺贈 被後代請求留下來的東西"
besiege	v. besiege 圍攻
bestow	"v. 授予,給予"
bias	n.偏見
bitterness	"n. 苦澀,辛酸"
bizarre	a.古怪的
blanket	a.毯子
blast	n. 突然性的一陣風，雨，閃光，熱浪等
blazing	a. 熾燒的，閃耀的
bleak	a.荒涼的，寒冷的
blend	 v. 混合
bless	v/n.祝福
block	v.阻擋
blossom	n.鮮花，開花
blues	n.布魯斯音樂，抑鬱
bluff	"n.懸崖v.詐騙,嚇唬別人"
blunt	"a. (人)挨宰的,(刀)鈍的，生硬的"
bolster	n.墊子，靠枕v.支持，支撐
boom	v.迅速發展n.繁榮
boon	 n.恩惠，福利
boost	 v. 促進，增加
bored	a.無聊的
boundary	n. 邊界
bow	n.弓，樂弓
breach	" n.裂開,v.破壞"
breeze	n.微風
brilliant	a.輝煌的，有才氣的 
briny	a.海水的，鹽的
briskly	ad.輕快地，活潑地
brittle	a.易碎的
bronze	n.青銅
bubble	n/v冒泡
buckle	 n.帶扣v.扣住
buggy	n.小馬車
bulk	n.體積，a.大部分
bundle	v.捆成一包n.一捆東西
burdensome	a.繁重的，勞累的
burgeon	v.萌芽，茁壯成長
burrow	n.野兔打的洞
bust	n. 半身胸像
bustle	"v.喧鬧,匆匆忙忙"
cab	n.計程車
cabinet	n.櫥櫃，內閣
cactus(pl.)	仙人掌
calibration	n.標度，校準
campaign	n.運動，戰役，競選運動
cannibalism	n.食人，自相殘殺
canopy	n.天蓬，遮蓬，樹蓋
canyon	n.峽谷，溪穀(寬深)
capability	n.能力
capacity	"n.人的能力,容量,身份"
carapace	n.甲殼
carbohydrate	n.碳水化合物
cardiac	a. 心臟的，強心劑
cargo	n.貨物
carnival	n.狂歡節
carnivore	n.食肉動物
carve	v. 雕刻
cast	v.扔n.劇團，演員表
casting	n.鑄造，鑄件，扮演
category	n.分類，範疇
cater	v.準備食物
cathedral	n.大教堂
cavern	n.岩洞，洞穴
cavity	n.洞，蛀牙洞
cease	v.停止
celestial	a.天上的，天空的 
cell	n.細胞，單人牢房，電池
cello	n.大提琴
census	n.人口普查
ceremony	"n.禮節,儀式"
chafe	 v.擦破，激怒
chamber	n.室，會所，議院，協會
chaos	n.混亂
charcoal	n. 木炭
charter	"n. 圖表,營業執照"
chateau	n.城堡，城堡型的旅館
check	n.支票v.控制
chill	 n.寒冷 
chimpanzee	n.黑猩猩
chisel	n./v.鑿子
cavalry	n.騎兵精神
chop	v.大塊剁 
choppy	a.波濤洶湧 
cord	n.琴弦，心弦
circulator	v.迴圈，流通，圖書發行，借還
circulation desk	n. (圖書館)借還台
circumscribe	vt.在...周圍劃線，限制(孫悟空)
cite	v.引用
civilian	n.平民，百姓
civility	a.彬彬有禮 
claim	v./n.聲稱，主張，認為
clam	n.蛤，貝
clamer	n. 喧鬧
clan	n.宗族
classification	n.分類
clay	n.黏土
cliff	n. 懸崖，絕壁
cling to	v.依靠，堅持
clockwise	a.順時針
clumsy	a.笨拙的
cluster	n.串，群
code of law	n.法典
codify	v.編成法典，編輯成書
coexist	v.共同生存
cohabit	v.同居
cohesion	n.凝聚，凝聚力
coincide	n.巧合
collaborate	v.合作
collective	a.集體的
collide	v.碰撞
colossus	n.巨人
combustible	a.易燃的
comet	n.彗星
